rolename,description
UCCS_FASO_FA_MANGR_3,FA Manager 3
UCCS_FASO_FA_MANGR_2,FA Manager 2
UCCS_FASO_FA_MANAGER_1,FA Manager 1
UCCS_FASO_FAO_COUNSL,FAO 3 & 4  (combo) Counselor
UCCS_FASO_FAO_FSP,FAO 3/4 Combo (FSP)
UCCS_FASO_FAO_3_SCHOL,FAO 3 Scholarships
UCCS_FASO_FAO_4_SCHOL,FAO 4 Scholarships
UCCS_FASO_BSA,"BSA (Includes BSA 3, 4 & 5)"
UCCS_FASO_IRA_4,IRA 4
UCCS_FASO_FSA_3,FSA 3 (Scholarships)
UCCS_FASO_FSA_4,FSA 4 (Scholarships)
UCCS_FASO_FSA_2,FSA 2 (FMCWSU)
UCCS_FASO_FA,FA 3 & 4 (FMCWSU)
UCCS_FASO_PPA_FAO,PPA/FAO (FMCWSU)
UCCS_FASO_FAO_4_SSE,FAO 4 SSE
UCCS_FASO_PPA_3_COMMS,PPA 3 Communications